instance_id,coco_image_id,coco_ann_id,orig_img_path,frag_img_path,gt_mask_path,outline_img_path,panel_img_path,metrics_json_path
COCO_val2014_000000391895_ann151091,391895,151091,outputs/assets/images/COCO_val2014_000000391895.png,outputs/stimuli/fragments/COCO_val2014_000000391895_ann151091_fragmented.png,outputs/assets/masks/COCO_val2014_000000391895_ann151091_mask.png,outputs/debug/outlines/COCO_val2014_000000391895_ann151091_outline.png,outputs/debug/panels/COCO_val2014_000000391895_ann151091_panel.png,outputs/debug/metrics/COCO_val2014_000000391895_ann151091_metrics.json
COCO_val2014_000000391895_ann202758,391895,202758,outputs/assets/images/COCO_val2014_000000391895.png,outputs/stimuli/fragments/COCO_val2014_000000391895_ann202758_fragmented.png,outputs/assets/masks/COCO_val2014_000000391895_ann202758_mask.png,outputs/debug/outlines/COCO_val2014_000000391895_ann202758_outline.png,outputs/debug/panels/COCO_val2014_000000391895_ann202758_panel.png,outputs/debug/metrics/COCO_val2014_000000391895_ann202758_metrics.json
COCO_val2014_000000522418_ann455475,522418,455475,outputs/assets/images/COCO_val2014_000000522418.png,outputs/stimuli/fragments/COCO_val2014_000000522418_ann455475_fragmented.png,outputs/assets/masks/COCO_val2014_000000522418_ann455475_mask.png,outputs/debug/outlines/COCO_val2014_000000522418_ann455475_outline.png,outputs/debug/panels/COCO_val2014_000000522418_ann455475_panel.png,outputs/debug/metrics/COCO_val2014_000000522418_ann455475_metrics.json
COCO_val2014_000000522418_ann1085508,522418,1085508,outputs/assets/images/COCO_val2014_000000522418.png,outputs/stimuli/fragments/COCO_val2014_000000522418_ann1085508_fragmented.png,outputs/assets/masks/COCO_val2014_000000522418_ann1085508_mask.png,outputs/debug/outlines/COCO_val2014_000000522418_ann1085508_outline.png,outputs/debug/panels/COCO_val2014_000000522418_ann1085508_panel.png,outputs/debug/metrics/COCO_val2014_000000522418_ann1085508_metrics.json
COCO_val2014_000000184613_ann72124,184613,72124,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann72124_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann72124_mask.png,outputs/debug/outlines/COCO_val2014_000000184613_ann72124_outline.png,outputs/debug/panels/COCO_val2014_000000184613_ann72124_panel.png,outputs/debug/metrics/COCO_val2014_000000184613_ann72124_metrics.json
COCO_val2014_000000184613_ann75495,184613,75495,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann75495_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann75495_mask.png,outputs/debug/outlines/COCO_val2014_000000184613_ann75495_outline.png,outputs/debug/panels/COCO_val2014_000000184613_ann75495_panel.png,outputs/debug/metrics/COCO_val2014_000000184613_ann75495_metrics.json
COCO_val2014_000000184613_ann286024,184613,286024,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann286024_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann286024_mask.png,outputs/debug/outlines/COCO_val2014_000000184613_ann286024_outline.png,outputs/debug/panels/COCO_val2014_000000184613_ann286024_panel.png,outputs/debug/metrics/COCO_val2014_000000184613_ann286024_metrics.json
COCO_val2014_000000184613_ann1202318,184613,1202318,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann1202318_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann1202318_mask.png,outputs/debug/outlines/COCO_val2014_000000184613_ann1202318_outline.png,outputs/debug/panels/COCO_val2014_000000184613_ann1202318_panel.png,outputs/debug/metrics/COCO_val2014_000000184613_ann1202318_metrics.json
COCO_val2014_000000184613_ann2177286,184613,2177286,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann2177286_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann2177286_mask.png,outputs/debug/outlines/COCO_val2014_000000184613_ann2177286_outline.png,outputs/debug/panels/COCO_val2014_000000184613_ann2177286_panel.png,outputs/debug/metrics/COCO_val2014_000000184613_ann2177286_metrics.json
COCO_val2014_000000184613_ann900100184613,184613,900100184613,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann900100184613_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann900100184613_mask.png,outputs/debug/outlines/COCO_val2014_000000184613_ann900100184613_outline.png,outputs/debug/panels/COCO_val2014_000000184613_ann900100184613_panel.png,outputs/debug/metrics/COCO_val2014_000000184613_ann900100184613_metrics.json
COCO_val2014_000000318219_ann491276,318219,491276,outputs/assets/images/COCO_val2014_000000318219.png,outputs/stimuli/fragments/COCO_val2014_000000318219_ann491276_fragmented.png,outputs/assets/masks/COCO_val2014_000000318219_ann491276_mask.png,outputs/debug/outlines/COCO_val2014_000000318219_ann491276_outline.png,outputs/debug/panels/COCO_val2014_000000318219_ann491276_panel.png,outputs/debug/metrics/COCO_val2014_000000318219_ann491276_metrics.json
COCO_val2014_000000318219_ann509155,318219,509155,outputs/assets/images/COCO_val2014_000000318219.png,outputs/stimuli/fragments/COCO_val2014_000000318219_ann509155_fragmented.png,outputs/assets/masks/COCO_val2014_000000318219_ann509155_mask.png,outputs/debug/outlines/COCO_val2014_000000318219_ann509155_outline.png,outputs/debug/panels/COCO_val2014_000000318219_ann509155_panel.png,outputs/debug/metrics/COCO_val2014_000000318219_ann509155_metrics.json
